animal_type,animal_breed,intake_type,outcome,intake_day,intake_month,intake_season,intake_is_weekend
CATS,DOMESTIC LH,STRAY,LIVE,MONDAY,JUNE,SUMMER,False
DOGS,LABRADOR RETR,STRAY,LIVE,MONDAY,NOVEMBER,FALL,False
DOGS,LABRADOR RETR,STRAY,LIVE,SUNDAY,FEBRUARY,WINTER,True
DOGS,LABRADOR RETR,STRAY,LIVE,WEDNESDAY,APRIL,SPRING,False
DOGS,MALTESE,OWNER SUR,NONLIVE,WEDNESDAY,NOVEMBER,FALL,False
DOGS,LABRADOR RETR,OWNER SUR,NONLIVE,THURSDAY,JANUARY,WINTER,False
DOGS,POODLE MIN,STRAY,LIVE,FRIDAY,DECEMBER,WINTER,False
DOGS,GERM SHEPHERD,OWNER SUR,LIVE,WEDNESDAY,SEPTEMBER,FALL,False
DOGS,LABRADOR RETR,TRANSFER,LIVE,WEDNESDAY,JULY,SUMMER,False
DOGS,LABRADOR RETR,RETURN,LIVE,THURSDAY,JULY,SUMMER,False
CATS,DOMESTIC SH,OWNER SUR,LIVE,SUNDAY,JANUARY,WINTER,True
DOGS,BORDER COLLIE,STRAY,LIVE,TUESDAY,DECEMBER,WINTER,False
DOGS,POINTER,STRAY,LIVE,THURSDAY,NOVEMBER,FALL,False
DOGS,POINTER,OWNER SUR,NONLIVE,FRIDAY,JUNE,SUMMER,False
DOGS,AUST SHEPHERD,STRAY,LIVE,SUNDAY,FEBRUARY,WINTER,True
DOGS,AUST SHEPHERD,STRAY,LIVE,SATURDAY,OCTOBER,FALL,True
DOGS,LABRADOR RETR,OWNER DIED,LIVE,TUESDAY,FEBRUARY,WINTER,False
DOGS,GERM SHEPHERD,TRANSFER,LIVE,WEDNESDAY,SEPTEMBER,FALL,False
DOGS,PIT BULL,FOSTER,NONLIVE,WEDNESDAY,MAY,SPRING,False
DOGS,ROTTWEILER,STRAY,LIVE,THURSDAY,JUNE,SUMMER,False
DOGS,SHIH TZU,FOSTER,NONLIVE,TUESDAY,JUNE,SUMMER,False
CATS,DOMESTIC SH,OWNER SUR,LIVE,TUESDAY,JUNE,SUMMER,False
DOGS,CHIHUAHUA SH,TRANSFER,LIVE,WEDNESDAY,FEBRUARY,WINTER,False
DOGS,CHIHUAHUA SH,TRANSFER,LIVE,WEDNESDAY,FEBRUARY,WINTER,False
CATS,DOMESTIC SH,OWNER DIED,LIVE,WEDNESDAY,JULY,SUMMER,False
CATS,DOMESTIC SH,OWNER SUR,LIVE,TUESDAY,AUGUST,SUMMER,False
