AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A0075579,BAILEY,DOG,BLACK,RED,LABRADOR RETR,SPAYED,1994-01-16,30,2024-10-15,MED R,STRAY,OTC,,2024-10-15,RTO,,MED R,SENTER RD X TULLY RD,SAN JOSE,2024-10-15
A0533827,PATCHES,DOG,TRICOLOR,BLACK,PARSON RUSS TER,NEUTERED,2006-02-06,18,2024-08-28,MED SEV,EUTH REQ,,,2024-08-28,RTO,,MED SEV,,SANTA CLARA,2024-08-28
A0569573,SHALE,CAT,BLACK,,DOMESTIC SH,SPAYED,2007-10-12,16,2024-09-25,MED SEV,STRAY,OTC,,2024-09-25,EUTH,,MED SEV,1600 BLOCK ALMADEN RD,SAN JOSE,2024-09-25
A0608333,BLACK,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,2008-05-05,16,2024-08-31,MED R,STRAY,OTC,,2024-09-03,RTF,,FERAL,RIVER VIEW DR,SAN JOSE,2024-09-03
A0636780,SPONGIE,DOG,FAWN,,POODLE MIN,NEUTERED,,,2024-07-22,MED SEV,STRAY,OTC,,2024-07-22,RTO,,MED SEV,SNELL AVE,SAN JOSE,2024-08-02
A0666279,NUSCHLER (TEDDY),CAT,PT-FLAME,ORANGE,SIAMESE,NEUTERED,2009-03-14,15,2024-09-06,MED R,STRAY,OTC,,2024-09-07,RTO,,HEALTHY,1400 BLOCK FOXWORTHY AVE X PLUMMER AVE,SAN JOSE,2024-09-07
A0685330,MINOR/BRN AV,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,,,2024-10-12,MED EMERG,STRAY,OTC,,2024-10-12,EUTH,,MED SEV,WILLIS AVE,SAN JOSE,2024-10-12
A0706207,MEMO,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,2008-09-21,16,2024-11-24,MED R,STRAY,OTC,,2024-12-01,RESCUE,,MED R,CATHAY DR / HOPKINS DR,SAN JOSE,2024-12-01
A0719419,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,,,2024-08-20,MED SEV,STRAY,OTC,,2024-08-20,EUTH,,MED SEV,MILL POND DR X CANOAS GARDEN AVE,SAN JOSE,2025-08-14
A0734308,DINKERS,DOG,BROWN,,CHIHUAHUA LH,NEUTERED,2009-08-03,15,2024-08-29,MED R,STRAY,OTC,,2024-08-31,RTO,,,RANCHERO WAY X MITZI DR,SAN JOSE,2024-08-31
A0742526,JEWELS,DOG,WHITE,TAN,CHIHUAHUA SH,NEUTERED,2011-04-08,13,2024-09-24,HEALTHY,STRAY,OTC,,2024-09-30,RESCUE,,HEALTHY,N 17TH ST X E TAYLOR,SAN JOSE,2024-09-30
A0746047,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,,,2024-07-27,MED R,STRAY,OTC,,2024-08-06,RTF,,MED R,300 BLOCK FANYON ST X KENNEDY DR,MILPITAS,2024-08-06
A0762292,GAUSS,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,2010-11-01,14,2024-11-20,MED R,STRAY,OTC,,2024-12-23,ADOPTION,,MED R,,SAN JOSE,2024-12-23
A0767314,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,,,2024-11-10,MED SEV,STRAY,FIELD,,2024-11-10,EUTH,,MED SEV,BUCKNER DR X MEADOW LN,SAN JOSE,2024-11-10
A0769885,,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,,,2024-12-13,MED SEV,STRAY,OTC,,2024-12-16,EUTH,,MED SEV,UMBARGER RD/MONTEREY RD,SAN JOSE,2024-12-16
A0773805,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,,,2024-10-04,MED SEV,STRAY,OTC,,2024-10-04,EUTH,,MED EMERG,0 BLOCK UMBARGER RD X AIELLO DR,SAN JOSE,2024-10-04
